header,class,mechanism,group,database
gi|303297116|gb|HM776707.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|blaGOB-1_1_EF394442|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB,megares
Bla|GES-5|DQ236171|112-975|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
Bla|Y17584.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|cfiA3|AB087228|1-750|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA,megares
1463|M81802.1|STAMSRB|MLS|Macrolide_resistance_efflux_pumps|MSRA,MLS,Macrolide resistance efflux pumps,MSRA,megares
Bla|LEN-21|AM850911|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Bla|IMP-27|JF894248|1-741|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
Tmt|EU780012.1|gene2|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Tet|TetS|L09756|447-2372|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS,megares
gi|157779402|gb|EU019534.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|591389157|gb|KF986261.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|ACT-12|JX440355|752-1897|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
CARD|pvgb|AP009048|3760295-3762710|ARO:3003303|Escherichia|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,megares
Bla|cfxA2|AF504910|1-966|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX,megares
249|AY743590.1|AY743590|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET39,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET39,megares
gi|536624018|gb|KF515536.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
gi|74422856|gb|DQ174307.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|SHV-42|AF535130|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|SHV-11_7_GQ407109|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|225698231|gb|FJ807656.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|SHV-29|AF301532|8-868|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|388564843|gb|JQ733575.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|FONA-3|AJ251241|1054-1941|888|betalactams|Class_A_betalactamases|FONA,betalactams,Class A betalactamases,FONA,megares
gi|6176547|gb|AF190695.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Mdr|L32599.1|gene2|Multi-drug_resistance|Multi-drug_efflux_pumps|BLT,Multi-drug resistance,Multi-drug efflux pumps,BLT,megares
CARD|phgb|FJ624872|0-851|ARO:3002319|KPC-9|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC,megares
AGly|Aac6-IIa|M29695|707-1261|555|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|124263631|gb|EF210159.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|30984106|gb|AY288915.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|L20573|1317-1944|ARO:3002988|bcrB|Bacitracin|Bacitracin_ABC_transporter|BCRB,Bacitracin,Bacitracin ABC transporter,BCRB,megares
gi|591389147|gb|KF986256.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-103|EU032604|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Gly|VanT-C_2_EU151752|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC,megares
Flq|QnrB70_1_KC580659|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|GOB-6|AF189292|1-756|756|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB,megares
MLS|erm42_2_AB601890|MLS|23S_rRNA_methyltransferases|ERM42,MLS,23S rRNA methyltransferases,ERM42,megares
gi|147886440|gb|EF581285.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-1_9_HM751102|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|AJ223970|796-2050|ARO:3000463|gimA|MLS|Macrolide_glycosyltransferases|GIMA,MLS,Macrolide glycosyltransferases,GIMA,megares
647|AF047479.2|AF047479|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB,megares
Bla|IMP-32|JQ002629|114-854|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|591389165|gb|KJ135343.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1458|M11587.1|PRMCATA|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
Flq|NC_006582.1.3202074|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
Rif|CP000675.2|gene392|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Bla|OKP-B018|AM850920|41-901|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|SHV-158|JX121125|1-858|858|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|68012687|gb|DQ061159.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|OXA-166|HM488987|1-822|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|698174191|gb|KM087850.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
Flq|CR628337.1|gene1424|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|13236847|gb|AY027590.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|pvgb|CP001485|303730-304966|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
CARD|phgb|FJ768952|0-1488|ARO:3000237|tolC|Multi-drug_resistance|Multi-drug_efflux_pumps|TOLC,Multi-drug resistance,Multi-drug efflux pumps,TOLC,megares
Bla|IND-1|EF394436|1-720|720|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
Bla|TEM-2_3_AJ251946|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
AGly|Aph3-Ia|HQ840942|23569-24384|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,megares
223|AJ000283.1|AJ000283|Multi-drug_resistance|Multi-drug_efflux_pumps|TAP,Multi-drug resistance,Multi-drug efflux pumps,TAP,megares
Flq|NC_011595.7059884|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXA-329_1_KF203103|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|323817046|gb|HQ700343.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR,MLS,23S rRNA methyltransferases,ERMR,megares
1541|JF268688.1|JF268688|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB,megares
Gly|VanH-M|FJ349556|3884-4864|981|Glycopeptides|VanM-type_resistance_protein|VANHM,Glycopeptides,VanM-type resistance protein,VANHM,megares
CARD|phgb|AB061440|305-770|ARO:3002870|tet34|Tetracyclines|Tetracycline_inactivation_enzymes|TET34,Tetracyclines,Tetracycline inactivation enzymes,TET34,megares
ACou|AY136281.1|gene1|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|gyrB|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,megares
gi|675278057|gb|KJ911020.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|phgb|NC_003197|2039657-2040380|ARO:3000826|sdiA|Multi-drug_resistance|MDR_regulator|SDIA,Multi-drug resistance,MDR regulator,SDIA,megares
AGly|APH-Stph|HE579073|1778413-1779213|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,megares
gi|469518773|gb|JX173956.1|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX,megares
751|AY618461.1|AY618461|Glycopeptides|VanA-type_resistance_protein|VANXA,Glycopeptides,VanA-type resistance protein,VANXA,megares
ACou|CP004022.1|gene2481|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Bla|cphA|AY261378|1-765|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA,megares
Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|CMY-66|JN714478|1035-2180|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Fos|AP010904.1|gene1560|Fosfomycin|Fosfomycin_hydrases|FOSX,Fosfomycin,Fosfomycin hydrases,FOSX,megares
ACou|NC_010611.6235284|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
CARD|phgb|KJ151292|294-2892|ARO:3000444|rifampin|Rifampin|Rifampin_phosphotransferase|RPH,Rifampin,Rifampin phosphotransferase,RPH,megares
CARD|phgb|AB091338|173-1355|ARO:3003551|emeA|Multi-drug_resistance|Multi-drug_efflux_pumps|EMEA,Multi-drug resistance,Multi-drug efflux pumps,EMEA,megares
AGly|U01945.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,megares
CARD|phgb|AF227204|73-934|ARO:3001084|SHV-26|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Tet|TetQ|Z21523|362-2287|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,megares
CARD|phgb|AY853593|214-1075|ARO:3001002|TEM-138|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|EF526508|0-645|ARO:3002723|QnrB9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
MLS|MphA|DQ445270|1626-2531|1230|MLS|Macrolide_phosphotransferases|MPHA,MLS,Macrolide phosphotransferases,MPHA,megares
gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|151074|gb|M69058.1|PSEBETLAC|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
Tet|TetG|AF133140|757-1932|1176|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG,megares
Bla|OXA-114_2_HM368375|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-1_3_X98098|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|40737711|gb|AY368237.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Gly|VanA-C_4_EU151753|Glycopeptides|VanC-type_resistance_protein|VANC,Glycopeptides,VanC-type resistance protein,VANC,megares
Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Rif|JX028276.1|gene31|Rifampin|Rifampin_glycosyltransferase|RGT,Rifampin,Rifampin glycosyltransferase,RGT,megares
Bla|CMY-48|HM569226|1040-2185|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXY2-2|AJ871867|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
CARD|phgb|AE004091.2|4120468-4121107|ARO:3003710|mexL|Multi-drug_resistance|MDR_regulator|MEXL,Multi-drug resistance,MDR regulator,MEXL,megares
Fos|fosA_7_NZ_AFBO01000747|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA,megares
1002|AF140221.1|AF140221|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|cepA_1_L13472|betalactams|Class_A_betalactamases|CEPA,betalactams,Class A betalactamases,CEPA,megares
gi|6176545|gb|AF190694.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|AB008454.1|gene1|betalactams|Class_C_betalactamases|SRT,betalactams,Class C betalactamases,SRT,megares
Bla|SHV-62_2_GU064395|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|HERA-8|AJ536092|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA,megares
469|AJ006275.1|AJ006275|betalactams|Class_A_betalactamases|CME,betalactams,Class A betalactamases,CME,megares
261|AY264780.2|AY264780|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,Tetracyclines,Tetracycline transcriptional repressor,TETR,megares
CARD|pvgb|NC_002952|1427046-1429569|ARO:3003319|Staphylococcus|Lipopeptides|Phosphotidylglycerol_lysyltransferase|MPRF|RequiresSNPConfirmation,Lipopeptides,Phosphotidylglycerol lysyltransferase,MPRF,megares
Bla|LEN-3|AY130286|1-823|823|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Bla|TEM-1D|AF188200|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
1205|JN086160.1|JN086160|MLS|23S_rRNA_methyltransferases|ERMF,MLS,23S rRNA methyltransferases,ERMF,megares
CARD|phgb|BR000038|0-237|ARO:3003021|dfrB2|Trimethoprim|Dihydrofolate_reductase|DFRB,Trimethoprim,Dihydrofolate reductase,DFRB,megares
Bla|KJ135345.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Phe|AF231986|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR,megares
Mdr|NC_002516.2.877855|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXA,Multi-drug resistance,Multi-drug efflux pumps,MEXA,megares
MLS|mefA_10_AF376746|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA,megares
gi|110350793|emb|AM286274.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|TEM-166|FJ197316|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|614461914|gb|KJ020573.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|CMY-26|AB300358|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
1114|EU670845.2|EU670845|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1905|AJ584652.2|AJ584652|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|256862197|gb|GQ390806.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Tmt|DfrA15|JN108895|93-551|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Bla|EU408358.1|gene24|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA,megares
Tet|Tet-33|AJ420072|22940-24163|1224|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET33,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET33,megares
Bla|CMY-22|DQ256079|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|OXA-51_11_EU255288|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1327|AF010416.1|AF010416|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB,megares
CARD|phgb|KP109676|0-1026|ARO:3003718|MSI-1|betalactams|Class_B_betalactamases|MSI,betalactams,Class B betalactamases,MSI,megares
gi|336318752|gb|JF780936.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Elf|NC_011595.7072242|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
CARD|phgb|KF152885|29328-29820|ARO:3002639|APH3-DPRIME-Ib|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
Mdr|NC_002516.2.882884|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXF,Multi-drug resistance,Multi-drug efflux pumps,MEXF,megares
gi|161367441|gb|EU274580.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Tet|tetG_5_AF071555|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG,megares
CARD|phgb|X74325|645-1908|ARO:3002656|APH4-Ib|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH4,megares
Bla|AB900900.1|gene1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Sul|sul1_25_AY878717|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
gi|270266459|gb|GU186044.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
Bla|TEM-52C_2_EF141186|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
AGly|M86913.1|gene4|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|472863|emb|Z28968.1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME,megares
Bla|X65253.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Mdr|NC_002516.2.877857|Multi-drug_resistance|MDR_regulator|MEXR|RequiresSNPConfirmation,Multi-drug resistance,MDR regulator,MEXR,megares
CARD|phgb|EU408349|107-1025|ARO:3002487|LRA-8|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA,megares
gi|168740380|emb|AM231720.2|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
505|AJ308331.1|AJ308331|betalactams|Class_B_betalactamases|CAU,betalactams,Class B betalactamases,CAU,megares
Tmt|U43152.1|gene1|Trimethoprim|Dihydrofolate_reductase|DFRD,Trimethoprim,Dihydrofolate reductase,DFRD,megares
Gly|VanS-Pt|AY926880|1391-2551|1461|Glycopeptides|VanA-type_regulator|VANSA,Glycopeptides,VanA-type regulator,VANSA,megares
Tet|tetM_6_M21136|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,megares
CARD|phgb|AF253562|2978-3713|ARO:3000002|vanW|Glycopeptides|VanG-type_accessory_protein|VANWG,Glycopeptides,VanG-type accessory protein,VANWG,megares
605|V01547.1|V01547|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,megares
CARD|pvgb|CP003248|4240040-4243325|ARO:3003327|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBC|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBC,megares
gi|694179059|gb|KM211509.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|401871158|gb|JX121117.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
816|U19459.1|SAU19459|MLS|Streptogramin_A_O-acetyltransferase|VATB,MLS,Streptogramin A O-acetyltransferase,VATB,megares
Bla|ampH_1_AJ276031|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
858|L06156.1|PROAAC2IA|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,megares
Bla|GOB-3|AF189291|1-756|756|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB,megares
Flq|QnrB24|HM192542|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|LEN-11|AJ635417|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Bla|TEM-121|AY307374|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|305657912|gb|HM246246.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|698376388|gb|KM211691.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
419|U51479.1|EGU51479|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,megares
1124|AF518567.2|AF518567|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|CMY-83|JX440351|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Flq|AE015929.1|gene5|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
gi|406507780|gb|JX310327.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Tet|tetM_8_X04388|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,megares
Flq|QnrB20|AB379831|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|SHV-66|DQ174306|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|U05883|555-1458|ARO:3003559|cepA|betalactams|Class_A_betalactamases|CEPA,betalactams,Class A betalactamases,CEPA,megares
CARD|phgb|NC_010400|1369124-1370342|ARO:3000777|adeF|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEF,Multi-drug resistance,Multi-drug efflux pumps,ADEF,megares
Bla|TEM-102_1_AY040093|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Mdr|NC_002516.2.882885|Multi-drug_resistance|Multi-drug_efflux_pumps|OPRN,Multi-drug resistance,Multi-drug efflux pumps,OPRN,megares
Bla|SHV-74|AM176549|31-891|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Mdr|NC_002516.2.878839|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXX,Multi-drug resistance,Multi-drug efflux pumps,MEXX,megares
Bla|DHA-7|HQ345945|1-1140|1140|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
Elf|NC_002516.2.881718|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
MLS|vatD_2_AF368302|MLS|Streptogramin_A_O-acetyltransferase|VATD,MLS,Streptogramin A O-acetyltransferase,VATD,megares
gi|383478991|gb|JQ820242.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
60|unknown_id|unknown_name|betalactams|Penicillin_binding_protein_regulator|BLAI,betalactams,Penicillin binding protein regulator,BLAI,megares
gi|397911950|gb|JQ724542.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|74422850|gb|DQ174304.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|CTX-M-91|GQ870432|31-906|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
